Id,Questionário: SIMULADO - PROVA 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: SIMULADO - EXAME - responder até dia 16 de julho (Real),Questionário: QUIZ - 1.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.2 E 1.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.4 E 1.5 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.6 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.3 e 3.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.5 e 3.6 - VALE PRESENÇA!!! (Real),Questionário: Simulado Prova2 - ERRO (só considerar os 8 alunos que fizeram) (Real),Questionário: QUIZ - 1.7 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - PRÉ-PROVA - VALE PRESENÇA!!! (Real),Total do curso (Real)
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,7,8,9,-,8.75,3,10,1,0,1,1,3,1,2,2,2,-,1,3,78.44
3,8,3,7,-,9.38,1,6.67,2,-,-,0,0,0,-,2,2,-,1,1,60.62
4,8,10,9,-,9.38,3,10,2,0,3,1,3,1,2,2,2,-,3,1,86.72
5,7,1,-,-,9.38,2,6.67,1,0,0,1,0,0,-,1,-,-,1,-,48.45
6,-,6,8,-,9.38,3,10,2,0,0,0,1,1,2,2,2,-,0,2,69.11
7,-,-,-,-,8.13,-,6.67,1,-,1,0,-,-,-,-,-,-,-,-,62.19
8,-,-,-,-,8.75,2,3.33,0,-,-,-,3,1,2,2,2,-,3,-,67.71
9,4,5,9,-,9.38,3,10,0,1,1,0,1,1,1,0,-,-,2,2,63.3
10,10,9,9,-,8.75,3,6.67,1,1,1,1,1,0,3,2,0,-,1,2,74.27
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,10,2,0,2,-,-,-,-,-,-,-,-,-,-,-,53.85
13,7,6,5,-,-,-,-,2,2,0,0,0,0,1,1,2,-,1,3,52.63
14,8,7,10,-,9.38,3,10,2,1,1,0,2,1,2,1,-,-,3,3,81.25
15,8,7,0,-,9.38,3,6.67,2,-,3,1,2,0,1,-,1,-,1,-,62.56
16,9,7,8,-,9.38,3,6.67,2,2,2,1,3,-,3,1,2,-,3,3,82.33
17,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,0,-,22.22
18,9,9,9,-,5.63,3,6.67,0,-,2,0,1,0,0,1,1,-,2,2,66.61
19,10,10,9,9,10,3,6.67,0,3,1,1,3,0,3,-,2,-,2,2,84.85
20,9,7,9,-,6.88,2,3.33,0,-,0,0,1,0,-,-,1,-,-,2,59.72
21,8,5,4,-,6.88,2,10,2,0,-,1,2,1,1,1,-,-,0,1,59.83
22,8,10,10,-,10,2,6.67,2,2,2,-,0,0,-,2,0,-,2,2,77.19
23,6,3,3,3,8.13,3,3.33,0,1,-,-,2,-,3,1,-,-,-,2,48.07
24,9,8,7,-,7.5,2,3.33,2,1,0,1,0,0,1,1,0,-,2,0,56.04
25,10,10,9,-,10,3,10,3,3,3,1,3,0,2,1,2,-,3,2,93.75
26,3,-,8,4,3.75,2,6.67,0,1,1,-,0,1,1,1,0,-,-,-,44.41
27,8,10,10,-,10,3,6.67,2,3,2,1,2,1,0,2,2,-,2,2,83.33
28,10,9,9,-,8.75,3,10,1,-,1,1,2,0,0,-,1,-,0,2,77
29,8,8,10,-,9.38,3,10,1,2,2,0,2,0,1,0,1,-,2,2,76.72
30,9,6,7,-,8.13,3,6.67,1,2,0,1,1,0,2,1,2,-,1,1,64.74
31,3,-,-,-,9.38,3,10,-,-,-,-,-,-,-,-,-,-,-,2,76.04
32,-,5,2,4,8.75,3,3.33,-,-,1,0,0,-,1,-,2,-,0,1,43.78
33,-,-,-,-,-,1,-,-,-,0,0,-,-,-,-,-,-,3,-,40
34,8,6,-,-,9.38,2,6.67,1,-,1,0,0,1,1,-,-,-,-,1,61.74
35,9,10,10,-,9.38,3,10,2,-,1,1,0,0,1,0,2,-,2,2,81.01
36,5,7,7,-,9.38,1,6.67,1,0,1,0,0,0,1,0,0,-,2,2,53.8
37,8,8,8,-,10,3,10,2,-,0,0,0,0,1,0,0,-,2,3,71.43
38,9,7,9,-,10,3,10,1,-,2,1,2,-,3,0,1,-,2,1,80.26
39,9,9,8,-,9.38,-,10,1,0,0,0,0,1,2,0,1,-,3,1,70.62
40,4,4,9,-,10,1,0,1,-,2,0,-,1,1,1,1,-,3,2,54.05
41,-,3,-,-,-,-,6.67,0,1,1,-,1,0,2,0,0,-,1,-,36.43
42,9,9,10,-,8.13,3,6.67,2,2,-,0,0,-,0,0,0,-,1,2,69.46
43,8,8,8,-,8.75,2,10,2,2,-,0,0,1,1,1,1,-,1,3,73.7
44,1,6,4,-,5.63,2,3.33,1,-,1,-,1,-,2,1,1,-,-,2,43
45,4,2,9,-,10,-,3.33,2,0,1,0,1,0,-,1,0,-,1,0,46.4
46,-,-,-,-,9.38,3,3.33,0,-,-,-,-,-,-,-,-,-,1,-,57.61
47,10,9,10,-,9.38,2,0,3,1,2,-,1,1,1,1,1,-,1,3,70.09
48,8,-,4,-,6.88,3,10,2,2,1,1,2,0,-,1,1,-,2,2,68.47
49,-,1,8,9,-,-,10,-,-,2,1,0,1,0,1,0,-,-,0,56.9
50,10,-,8,-,6.88,3,10,-,1,1,1,2,-,0,2,1,-,-,1,74.4
51,7,3,3,4,8.75,2,10,2,2,1,1,1,0,2,2,1,-,-,2,59.48
52,8,8,10,-,10,2,10,2,1,1,1,2,0,2,2,1,-,2,2,80
53,8,9,10,-,8.75,3,3.33,2,0,0,0,0,0,1,0,0,-,2,2,61.35
54,7,9,10,-,8.75,3,10,2,0,2,1,2,1,2,1,1,-,1,2,78.44
55,8,9,8,-,9.38,3,6.67,2,2,2,0,-,0,1,1,0,-,2,2,72.78
56,7,6,8,-,8.13,3,6.67,1,1,0,0,1,1,-,1,0,-,1,1,59.47
57,7,3,5,4,10,2,3.33,2,0,2,1,1,1,1,1,-,-,0,2,51.52
58,7,4,10,-,6.88,3,10,0,-,1,1,0,1,2,2,1,-,1,-,67.4
59,9,9,8,6,-,1,10,2,3,2,0,1,1,1,1,2,-,2,-,75.32
60,6,4,6,-,8.13,2,10,0,1,0,0,1,0,1,1,2,-,2,2,57.66
61,-,-,-,-,8.13,2,3.33,-,-,-,-,-,-,-,-,-,-,0,-,51.76
62,-,10,9,-,4.38,2,0,0,1,0,-,1,0,1,0,0,-,1,2,45.47
63,9,9,10,-,5,3,3.33,-,0,0,1,0,0,2,1,1,-,2,2,62.77
64,5,2,9,-,9.38,2,6.67,1,1,0,0,-,-,-,1,-,-,3,2,59.21
65,-,6,6,-,9.38,2,6.67,2,-,2,1,2,0,2,0,0,-,1,-,62.57
66,8,-,-,-,10,2,3.33,2,1,1,1,0,-,-,1,-,-,-,3,63.4
67,8,8,10,-,8.75,3,10,2,-,1,1,2,1,-,1,2,-,1,2,82.09
68,8,7,10,-,10,2,6.67,2,0,1,0,-,0,0,1,1,-,2,3,69.7
69,10,5,9,-,8.13,3,3.33,1,0,1,0,-,0,-,0,-,-,2,3,63.14
70,7,8,-,-,9.38,1,3.33,1,0,0,1,1,0,-,1,0,-,0,1,50.31
71,9,9,10,-,8.75,3,10,1,0,1,-,0,1,1,2,0,-,2,2,75.63
72,-,-,-,-,9.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.75
73,4,6,4,-,9.38,3,10,3,0,2,0,2,1,1,2,1,-,-,3,66.72
74,-,-,-,-,6.25,2,3.33,-,-,0,1,0,1,-,1,1,-,-,-,44.52
75,9,8,10,-,8.13,3,10,0,1,1,1,0,0,2,1,1,-,1,2,72.66
76,6,8,10,-,1.88,1,3.33,0,1,1,0,1,0,1,0,0,-,-,0,44.43
77,7,8,10,-,10,3,10,3,2,2,1,-,1,0,1,0,-,2,3,81.82
78,8,8,-,-,8.75,2,6.67,2,3,2,0,-,0,1,2,0,-,1,3,70.77
79,5,4,8,-,6.88,2,10,2,2,1,1,0,1,2,0,2,-,1,2,62.34
80,0,8,-,-,10,3,0,2,1,-,0,-,0,-,0,0,-,1,1,42.62
81,7,10,10,-,8.75,1,10,3,3,3,1,3,1,3,1,2,-,3,2,89.69
82,7,-,-,6,8.13,2,10,1,2,0,1,1,-,1,0,0,-,3,2,63.95
83,9,10,8,-,6.25,2,6.67,2,2,1,0,2,1,-,1,2,-,2,1,72.62
84,6,4,-,6,-,3,3.33,-,-,0,-,1,0,3,-,1,-,-,2,50.57
85,5,2,5,-,7.5,3,3.33,2,-,0,0,1,0,1,1,-,-,1,-,44.21
86,8,7,6,-,10,3,3.33,3,-,3,1,3,1,1,1,-,-,1,3,72.44
87,6,8,10,-,3.75,2,3.33,0,1,0,0,1,1,2,1,1,-,-,0,52.06
88,9,7,8,-,8.13,3,3.33,1,1,0,1,0,0,0,-,1,-,0,0,54.43
89,7,9,8,-,3.75,1,-,0,-,0,0,0,0,2,0,1,-,0,3,51.87
90,3,5,8,9,9.38,3,10,1,0,1,0,-,1,0,0,0,-,0,-,59.97
91,9,8,6,-,10,3,10,2,1,2,0,3,0,2,0,0,-,2,3,76.25
92,2,2,3,-,1.88,0,0,1,1,0,0,0,0,-,1,-,-,2,1,19.83
93,8,10,9,-,9.38,3,10,3,3,3,0,0,1,3,2,1,-,1,2,85.47
94,-,-,-,-,8.13,3,0,1,-,2,-,2,0,0,0,1,-,1,-,42.15
95,9,9,10,-,10,3,10,2,3,3,0,0,0,2,2,2,-,3,2,87.5
96,5,8,10,-,10,3,6.67,1,-,2,1,1,0,-,1,1,-,2,1,71.17
97,5,0,-,-,7.5,2,0,1,0,0,0,0,1,0,2,0,-,0,1,27.86
98,9,6,8,-,8.75,3,6.67,1,1,1,0,0,-,2,1,1,-,1,2,65.08
99,2,-,-,-,2.5,1,0,2,-,0,0,0,1,2,-,-,-,2,0,23.58
