Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),Questionário: PROVA 2 - ERE - ATESTADO (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),Questionário: PROVA 3 - ERE - ATESTADO (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Conceito Final (Real),Total do curso (Real)
1,10,10,10,-,10,10,10,10,10,10,10,10,9.17,1,6.5,7.5,1,3.83,-,4.83,1,1.73,-,2.73,5.02,6.68,-,-,-,2.67,6.68,6.68
2,-,10,-,10,10,6.67,10,10,10,10,10,10,8.06,0.8,4.5,5.3,0.8,3,-,3.8,0.9,1.27,-,2.17,3.76,5.48,0.7,9,9.7,8.01,8.01,8.01
3,9.38,10,10,7.5,10,10,10,10,10,10,10,10,9.74,0.9,9,9.9,0.9,3,-,3.9,1,2.46,-,3.46,5.75,7.35,-,-,-,2.94,7.35,7.35
4,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,1,9,10,1,9.33,-,10,1,7.3,-,8.3,9.43,9.58,-,-,-,3.83,9.58,9.58
5,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,1,5.67,-,6.67,1,3,-,4,5.89,7.53,-,-,-,3.01,7.53,7.53
6,10,10,10,7.5,6.67,6.67,0,6.67,10,5,10,10,7.71,0.6,7,7.6,0.8,1,-,1.8,0.7,2.03,-,2.73,4.04,5.51,0.6,5.67,6.27,5.96,5.96,5.96
7,8.75,10,10,7.5,10,10,10,10,10,10,10,10,9.69,0.9,7,7.9,1,2.5,-,3.5,1,5.37,-,6.37,5.92,7.43,-,-,-,2.97,7.43,7.43
8,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6.5,7.5,1,6.33,-,7.33,1,4.8,-,5.8,6.88,8.13,-,-,-,3.25,8.13,8.13
9,10,10,10,10,10,10,10,10,10,10,10,10,10,1,6,7,1,3.33,-,4.33,0.9,1.7,-,2.6,4.64,6.79,-,-,-,2.71,6.79,6.79
10,10,10,10,10,10,10,10,6.67,10,5,10,10,9.31,0.7,7.5,8.2,0.8,2.83,-,3.63,0.6,6.2,-,6.8,6.21,7.45,-,-,-,2.98,7.45,7.45
11,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,0.9,5,-,5.9,0.9,8.2,-,9.1,8.33,9,-,-,-,3.6,9,9
12,9.38,10,10,5,6.67,6.67,10,6.67,10,5,10,10,8.28,0.9,9,9.9,1,2.5,-,3.5,1,6.87,-,7.87,7.09,7.57,-,-,-,3.03,7.57,7.57
13,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,4,4.8,1,7.33,-,8.33,0.9,3.07,-,3.97,5.7,7.42,-,-,-,2.97,7.42,7.42
14,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,3.5,4.3,0.8,3.5,-,4.3,1,3.73,-,4.73,4.44,6.67,-,-,-,2.67,6.67,6.67
15,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8.5,9.5,1,7.5,-,8.5,1,5.87,-,6.87,8.29,8.97,-,-,-,3.59,8.97,8.97
16,8.75,-,10,5,3.33,0,10,3.33,10,5,10,10,6.28,0.9,8,8.9,0.8,3,-,3.8,0.9,8.67,-,9.57,7.42,6.97,-,-,-,2.79,6.97,6.97
17,9.38,10,10,10,10,10,10,6.67,10,10,10,10,9.67,0.8,5.5,6.3,1,2.5,-,3.5,1,1.67,-,2.67,4.16,6.36,-,-,-,2.54,6.36,6.36
18,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,5.5,6.4,1,6.5,-,7.5,0.9,1.6,-,2.5,5.47,7.28,-,-,-,2.91,7.28,7.28
19,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,10,10,0.7,7,-,7.7,1,-,6,7,8.23,8.94,-,-,-,3.58,8.94,8.94
20,9.38,10,10,10,6.67,6.67,-,10,10,10,10,10,8.56,0.8,9,9.8,0.8,6.33,-,7.13,0.9,7.3,-,8.2,8.38,8.45,-,-,-,3.38,8.45,8.45
21,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,6,6.9,1,4.5,-,5.5,1,6.23,-,7.23,6.54,7.93,-,-,-,3.17,7.93,7.93
22,-,10,10,7.5,6.67,10,10,10,10,10,5,10,8.26,0.9,8,8.9,1,7.67,-,8.67,0.9,7.16,-,8.06,8.54,8.43,-,-,-,3.37,8.43,8.43
23,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,7.83,-,8.83,1,4.41,-,5.41,8.08,8.85,-,-,-,3.54,8.85,8.85
24,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,8,8.9,1,9.17,-,10,1,6.44,-,7.44,8.78,9.27,-,-,-,3.71,9.27,9.27
25,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,9,-,10,1,9.3,-,10,10,10,-,-,-,4,10,10
26,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,10,10,0.7,6.33,-,7.03,0.9,8.77,-,9.67,8.9,9.26,-,-,-,3.7,9.26,9.26
27,10,10,10,7.5,10,10,10,10,10,10,10,5,9.38,1,5,6,1,2,-,3,0.9,3,-,3.9,4.3,6.33,-,-,-,2.53,6.33,6.33
28,10,10,10,10,10,10,10,10,10,10,10,10,10,1,9,10,1,9.67,-,10,1,9.27,-,10,10,10,-,-,-,4,10,10
29,10,10,10,7.5,3.33,10,10,10,10,10,10,10,9.24,0.7,6.5,7.2,1,2.67,-,3.67,0.8,2.78,-,3.58,4.81,6.58,-,-,-,2.63,6.58,6.58
30,10,10,10,7.5,3.33,6.67,0,10,10,10,10,10,8.13,1,9,10,0.8,6.5,-,7.3,0.8,7.27,-,8.07,8.46,8.32,-,-,-,3.33,8.32,8.32
31,10,10,10,7.5,10,10,10,10,10,10,10,10,9.79,0.9,7.5,8.4,1,5.33,-,6.33,0.9,5.8,-,6.7,7.14,8.2,-,-,-,3.28,8.2,8.2
32,8.75,10,10,7.5,6.67,10,10,10,10,10,10,10,9.41,0.6,6,6.6,0.9,3.5,-,4.4,0.9,2.73,-,3.63,4.88,6.69,-,-,-,2.68,6.69,6.69
33,9.38,-,10,10,10,6.67,10,10,10,10,5,10,8.42,0.6,5,5.6,0.8,0,-,0.8,0.9,2.71,-,3.61,3.34,5.37,0,7.25,7.25,6.5,6.5,6.5
34,3.75,6.67,10,10,6.67,6.67,5,10,10,10,10,10,8.23,0.8,3,3.8,0.7,3,-,3.7,0.6,1.73,-,2.33,3.28,5.26,0.9,6,6.9,6.24,6.24,6.24
35,10,10,10,5,6.67,10,10,10,10,10,10,10,9.31,0.8,6,6.8,0.9,5.5,-,6.4,1,7.2,-,8.2,7.13,8,-,-,-,3.2,8,8
36,9.38,10,10,7.5,3.33,10,5,10,10,10,10,10,8.77,0.9,5,5.9,1,4.33,-,5.33,1,5.57,-,6.57,5.93,7.07,-,-,-,2.83,7.07,7.07
37,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8,4,4.8,0.9,2,-,2.9,0.8,2.4,-,3.2,3.63,6.18,-,-,-,2.47,6.18,6.18
38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,10,10,10,10,10,10,10,10,10,10,10,10,10,1,7,8,1,4.83,-,5.83,1,3.78,-,4.78,6.21,7.72,-,-,-,3.09,7.72,7.72
40,9.38,10,10,7.5,10,10,5,10,10,10,10,10,9.32,0.8,7.5,8.3,1,5,-,6,1,3.53,-,4.53,6.28,7.5,-,-,-,3,7.5,7.5
41,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7,7,7.7,1,6,-,7,1,6.47,-,7.47,7.39,8.43,-,-,-,3.37,8.43,8.43
42,-,6.67,10,7.5,3.33,10,5,10,0,-,5,10,5.63,0.8,4.5,5.3,0.7,4.5,-,5.2,0.9,2.77,-,3.67,4.72,5.08,1,2,3,3.83,5.08,5.08
43,-,-,-,7.5,3.33,10,5,6.67,10,10,10,10,6.04,0.6,7.5,8.1,0.8,3,-,3.8,0.8,7.87,-,8.67,6.86,6.53,-,-,-,2.61,6.53,6.53
44,10,10,10,5,10,10,5,10,10,10,10,10,9.17,0.8,6.5,7.3,0.7,3,-,3.7,0.9,6.9,-,7.8,6.27,7.43,-,-,-,2.97,7.43,7.43
45,10,10,-,7.5,10,6.67,10,10,-,10,10,10,7.85,0.8,3,3.8,0.8,4.5,-,5.3,1,7.17,-,8.17,5.76,6.59,-,-,-,2.64,6.59,6.59
46,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,1,9.33,-,10,1,8.18,-,9.18,9.73,9.84,-,-,-,3.93,9.84,9.84
47,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8,9,1,5.5,-,6.5,1,5.8,-,6.8,7.43,8.46,-,-,-,3.38,8.46,8.46
48,10,10,10,10,10,3.33,5,3.33,10,-,10,10,7.64,0.6,5,5.6,0.7,3,-,3.7,0.7,5.42,-,6.12,5.14,6.14,-,-,-,2.46,6.14,6.14
49,10,6.67,10,10,10,10,10,10,10,10,10,5,9.31,0.8,5,5.8,1,7.17,-,8.17,0.9,4.86,-,5.76,6.58,7.67,-,-,-,3.07,7.67,7.67
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,10,10,10,7.5,10,10,10,6.67,10,5,10,10,9.1,0.7,8,8.7,0.7,7,-,7.7,0.6,6.36,-,6.96,7.79,8.31,-,-,-,3.32,8.31,8.31
52,10,10,10,7.5,10,10,10,10,10,10,5,5,8.96,0.7,9,9.7,0.9,5.33,-,6.23,1,4.03,-,5.03,6.99,7.78,-,-,-,3.11,7.78,7.78
53,10,10,10,10,10,10,10,10,10,10,10,10,10,1,5.5,6.5,0.7,7.5,-,8.2,0.9,4.8,-,5.7,6.8,8.08,-,-,-,3.23,8.08,8.08
54,10,10,10,10,10,6.67,10,10,10,10,10,10,9.72,0.9,6.5,7.4,0.8,5.33,-,6.13,0.7,7.93,-,8.63,7.39,8.32,-,-,-,3.33,8.32,8.32
55,10,10,10,-,10,10,10,10,10,10,10,10,9.17,0.9,6,6.9,0.8,3.83,-,4.63,0.8,2.34,-,3.14,4.89,6.6,-,-,-,2.64,6.6,6.6
56,-,10,10,5,10,6.67,10,10,10,10,10,10,8.47,0.8,9,9.8,1,8,-,9,0.8,4.83,-,5.63,8.14,8.28,-,-,-,3.31,8.28,8.28
