Id,Conceito Final (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 - ERE (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Total do curso (Real)
1,6.54,-,-,-,2.62,10,10,10,2.5,10,10,8.33,8.89,10,8,10,6.25,8.66,0.8,-,6.58,7.38,0.9,2.29,3.19,0.9,3.9,4.8,5.12,6.54,6.54
2,9.73,-,-,-,3.89,10,10,10,10,10,10,10,10,10,10,10,10,10,1,-,7.8,8.8,1,8.85,9.85,1,9.3,10,9.55,9.73,9.73
3,8.33,-,-,-,3.33,9.17,10,10,5,5,10,10,7.78,10,3.67,7.5,9,8.09,0.9,-,9.55,10,1,6.35,7.35,1,7.1,8.1,8.48,8.33,8.33
4,8.56,-,-,-,3.42,10,10,10,10,10,10,10,10,10,9,10,10,9.92,0.9,-,7.75,8.65,1,5,6,1,7.3,8.3,7.65,8.56,8.56
5,6.36,-,-,-,2.54,8.96,10,10,10,5,8.33,8.33,0,10,2,9.17,10,7.65,0.4,-,7.88,8.28,0.5,0.94,1.44,0.8,6,6.8,5.5,6.36,6.36
6,9.04,-,-,-,3.62,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9,-,10,10,1,5.42,6.42,-,8.8,8.8,8.41,9.04,9.04
7,6.96,-,8,8,6.96,10,10,10,0,5,6.67,10,2.78,5,0,6.67,2,5.68,0.7,-,8.3,9,0,3.75,3.75,0,2.9,2.9,5.22,5.4,6.96
8,5.89,0.6,5,5.6,5.72,-,10,10,10,10,3.33,-,10,0,5.33,5,5.5,5.76,0.7,-,6.58,7.28,0.9,5,5.9,0.9,3.85,4.75,5.98,5.89,5.89
9,0.32,-,-,-,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,1.3,1.6,-,-,-,-,-,-,0.53,0.32,0.32
10,6.78,-,-,-,2.71,-,5,10,7.5,5,10,10,8.89,10,2.67,8.33,2,6.62,0.9,-,6.75,7.65,0.9,5.63,6.53,1,5.48,6.48,6.88,6.78,6.78
11,8.96,-,-,-,3.58,10,10,10,10,10,8.33,10,6.67,10,9,9.17,10,9.43,0.9,-,8.7,9.6,0.9,7.92,8.82,1,6.53,7.53,8.65,8.96,8.96
12,7.77,-,-,-,3.11,10,10,10,10,5,10,10,8.89,10,7,7.5,9,8.95,0.8,-,9.75,10,1,3.75,4.75,1,5.23,6.23,6.99,7.77,7.77
13,7.42,-,-,-,2.97,10,5,10,7.5,10,10,10,7.78,10,0,5.83,-,7.18,0.1,-,9.25,9.35,1,7.29,8.29,0.7,4.4,5.1,7.58,7.42,7.42
14,7.44,-,-,-,2.98,-,10,10,10,10,10,10,6.67,5,9,9.17,9,8.24,0.6,-,7.83,8.43,0.7,5.63,6.33,0.6,5.4,6,6.92,7.44,7.44
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,9.01,-,-,-,3.6,10,10,10,10,10,10,10,8.89,10,9,9.17,10,9.75,1,-,9,10,1,6.67,7.67,0.8,7.08,7.88,8.51,9.01,9.01
17,9.05,-,-,-,3.62,10,10,10,10,10,10,10,10,10,8,10,9,9.75,0.9,-,9.75,10,1,6.25,7.25,1,7.5,8.5,8.58,9.05,9.05
18,8.27,-,-,-,3.31,10,10,10,5,10,5,5,6.67,10,10,9.17,7,8.15,0.9,-,8.95,9.85,-,7.5,7.5,-,7.7,7.7,8.35,8.27,8.27
19,9.64,-,-,-,3.86,10,10,10,8.75,10,10,10,10,10,10,7.5,9,9.6,1,-,8.55,9.55,1,8.44,9.44,1,9.2,10,9.66,9.64,9.64
20,7.45,-,-,-,2.98,10,10,10,10,10,6.67,10,8.89,10,10,9.17,-,8.73,1,-,9.63,10,0.9,4.48,5.38,1,3.4,4.4,6.59,7.45,7.45
21,9.13,-,-,-,3.65,9.48,10,10,10,10,10,10,6.67,5,9,6.67,8.75,8.8,0.9,-,8.95,9.85,0.9,7.29,8.19,0.8,9.7,10,9.35,9.13,9.13
