Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Total do curso (Real)
1,10,10,10,10,10,10,10,10,10,9,10,10,9.92,0.9,8.3,9.2,0.9,7.59,8.49,1,10,10,9.23,9.51,-,-,-,3.8,9.51
2,10,10,6.67,10,10,8.33,10,10,10,10,9.17,10,9.51,0.8,6.35,7.15,1,4.26,5.26,1,7.9,8.9,7.1,8.07,-,-,-,3.23,8.07
3,10,10,10,10,10,6.67,8.33,10,10,8,6.67,9,9.06,0.9,5.4,6.3,0.9,5.28,6.18,1,8.5,9.5,7.33,8.02,-,-,-,3.21,8.02
4,6.35,0,10,7.5,10,10,-,5.56,10,4.33,5,-,5.73,0,6.8,6.8,-,3.61,3.61,-,4.08,4.08,4.83,5.19,0.1,5.25,5.35,5.29,5.29
5,10,10,6.67,7.5,10,8.33,10,5.56,10,7,8.33,7.75,8.43,0.9,8.8,9.7,0.7,3.89,4.59,0.9,5.1,6,6.76,7.43,-,-,-,2.97,7.43
6,10,5,6.67,5,10,6.67,8.33,0,10,-,-,3,5.39,0.3,3.35,3.65,1,2.04,3.04,1,3.6,4.6,3.76,4.41,0.8,5.67,6.47,5.65,5.65
7,9.17,10,10,5,0,6.67,10,8.89,10,1.67,7.5,6,7.07,0.8,6.75,7.55,0.6,5.65,6.25,1,8.4,9.4,7.73,7.47,-,-,-,2.99,7.47
8,9.48,10,10,10,5,10,10,3.33,10,5.33,8.33,7,8.21,0.8,9.1,9.9,0.7,1.39,2.09,0.8,8,8.8,6.93,7.44,-,-,-,2.98,7.44
9,10,10,10,10,10,8.33,10,10,10,8,6.67,10,9.42,0.9,9,9.9,1,7.04,8.04,0.7,6.7,7.4,8.45,8.83,-,-,-,3.53,8.83
10,10,10,6.67,10,10,8.33,10,10,5,9,9.17,10,9.01,0.9,8.25,9.15,0.8,6.67,7.47,0.8,8,8.8,8.47,8.69,-,-,-,3.48,8.69
