cartao,points
289475,10
289468,9
308149,4
288553,5
229787,9
288560,8
288440,10
287713,8
288585,2
303556,6
206273,5
268613,6
263873,1
291605,3
305665,6
289472,10
314861,9
233138,1
301753,6
304725,7
301263,7
289467,7
288050,10
302571,9
309135,9
309081,7
230153,8
274727,6
302481,8
313205,2
263026,2
316378,6
275852,9
262008,9
303453,3
271023,9
230343,7
301506,8
304317,7
241693,9
161250,7
303901,5
289490,5
287720,8
278043,9
245489,1
276541,8
275695,3
303658,8
305641,7
229253,7
302273,10
303348,10
289460,9
301616,8
308030,8
311624,5
291426,9
314899,6
308168,7
314637,6
262481,8
303740,9
308144,6
304805,5
307969,8
291458,10
290820,6
304739,6
121231,10
303598,8
307992,6
301759,8
301955,10
303694,6
288489,7
302596,5
313425,9
285691,4
303781,8
302921,9
301528,7
302156,8
292523,9
302484,9
304798,7
309366,5
303008,10
290461,6
305003,2
243617,4
304618,8
301193,9
214552,6
292610,6
262821,8
262603,3
309172,6
288523,4
304997,6
273161,5
262604,7
236753,7
303540,9
225929,5
275896,6
262483,7
289070,9
288857,3
275890,6
301198,8
312990,2
287758,10
277315,8
314437,8
223846,10
29771,4
281627,10
289067,5
275934,10
276169,3
312436,8
288685,10
304590,5
288852,3
301235,7
285705,9
315656,9
305636,5
288698,10
275909,7
288716,7
275956,7
244198,3
291260,10
280058,7
288681,10
303725,10
301564,9
262577,5
314440,9
288870,9
302043,8
314943,5
279482,7
114255,7
292874,8
313439,9
281631,4
288839,7
262682,7
302351,3
192637,7
232802,6
262584,4
306073,10
289211,1
262845,7
275868,8
275945,9
275676,4
302671,10
302078,10
288838,6
315401,8
209216,7
309380,8
290419,6
314814,9
245668,5
245001,2
288424,1
302417,9
302134,10
207413,7
290533,6
281654,5
304654,2
303968,7
288874,9
304720,7
265524,5
276114,5
314822,5
275948,7
275957,7
207676,7
288793,6
288787,8
288800,9
288795,10
314932,5
288831,5
301841,7
278311,2
289469,9
302640,8
303418,8
302186,9
270221,5
301722,6
309114,7
313229,2
288807,7
288796,9
302377,3
304546,7
303338,6
297124,8
312625,7
288871,9
288797,8
313540,10
288639,5
297533,8
282081,5
297635,8
306038,7
301520,8
288640,3
288873,4
264978,5
305017,7
301503,5
302020,10
288791,8
302369,7
306017,4
303976,9
282048,8
288904,9
290468,10
288920,9
303320,3
288780,8
182912,5
315365,10
264395,8
290688,6
247250,3
303749,3
301958,10
301600,8
261094,6
297125,9
301808,8
302172,7
297544,6
289303,2
308625,5
303955,4
245022,5
314879,10
306034,5
228510,3
260719,8
303261,6
