cartao,ingresso,curso,turma,points
314637,2019/1,ENGENHARIA CIVIL,Z1,8
276541,2016/2,LICENCIATURA EM MATEMÁTICA - NOTURNA,Z1,8
214552,2017/2,ENGENHARIA CIVIL,Z1,4
301759,2018/2,ENGENHARIA CIVIL,Z1,8
291458,2019/1,ENGENHARIA CIVIL,Z1,9
278802,2016/2,ENGENHARIA CIVIL,Z1,8
304805,2018/1,ENGENHARIA CIVIL,Z1,7
291426,2017/1,ENGENHARIA METALÚRGICA,Z1,7
307969,2018/2,ENGENHARIA CIVIL,Z1,5
308030,2018/2,ENGENHARIA CIVIL,Z1,6
288523,2017/2,ENGENHARIA CIVIL,Z1,3
304997,2018/1,ENGENHARIA CIVIL,Z1,6
262481,2015/2,ENGENHARIA CIVIL,Z1,8
290461,2017/2,ENGENHARIA CIVIL,Z1,6
307992,2018/2,ENGENHARIA CIVIL,Z1,4
314899,2019/1,ENGENHARIA CIVIL,Z1,6
301955,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z1,10
289460,2019/1,ENGENHARIA METALÚRGICA,Z1,2
304798,2018/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z1,3
303348,2018/2,ENGENHARIA CIVIL,Z1,10
303694,2018/1,ENGENHARIA METALÚRGICA,Z1,5
302596,2018/1,ENGENHARIA METALÚRGICA,Z1,4
301193,2018/1,ENGENHARIA AMBIENTAL,Z1,4
303781,2018/2,ENGENHARIA CIVIL,Z1,10
303598,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z1,9
292610,2017/1,ENGENHARIA CIVIL,Z1,8
308168,2018/2,ENGENHARIA CIVIL,Z1,7
302921,2018/2,ENGENHARIA CIVIL,Z1,4
305641,2018/1,ENGENHARIA CIVIL,Z1,4
292523,2018/2,ENGENHARIA CIVIL,Z1,7
301616,2019/1,BACHARELADO EM QUÍMICA,Z1,7
304618,2018/2,ENGENHARIA CIVIL,Z1,6
309366,2018/2,ENGENHARIA CIVIL,Z1,6
302273,2018/2,ENGENHARIA CIVIL,Z1,10
302484,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z1,10
301528,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z1,10
308144,2018/2,ENGENHARIA CIVIL,Z1,6
303008,2018/1,ENGENHARIA DE COMPUTAÇÃO,Z1,10
309172,2018/2,ENGENHARIA CIVIL,Z1,9
313425,2019/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z1,5
262604,2015/1,ENGENHARIA DE MINAS,Z1,6
229253,2018/2,ENGENHARIA CIVIL,Z1,6
262821,2017/2,ENGENHARIA DE MINAS,Z1,7
303658,2018/2,ENGENHARIA CIVIL,Z1,7
275695,2016/1,ENGENHARIA DE MINAS,Z1,5
193044,2016/2,ENGENHARIA CIVIL,Z1,3
302156,2018/1,ENGENHARIA CIVIL,Z1,8
243617,2014/2,ENGENHARIA CIVIL,Z1,4
303740,2018/2,ENGENHARIA CIVIL,Z1,7
236753,2013/2,ENGENHARIA CIVIL,Z1,6
304739,2018/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z1,4
303540,2018/1,ENGENHARIA CIVIL,Z1,8
277315,2016/1,ENGENHARIA ELÉTRICA,Z2,9
301198,2018/2,ENGENHARIA ELÉTRICA,Z2,6
262483,2015/2,ENGENHARIA QUÍMICA,Z2,9
275909,2016/1,ENGENHARIA QUÍMICA,Z2,5
225929,2018/1,ENGENHARIA ELÉTRICA,Z2,8
232802,2018/1,ENGENHARIA METALÚRGICA,Z2,6
275890,2016/1,ENGENHARIA METALÚRGICA,Z2,4
209216,2018/2,LICENCIATURA EM FÍSICA - NOTURNA,Z2,5
275934,2016/1,ENGENHARIA QUÍMICA,Z2,5
288716,2017/2,ENGENHARIA ELÉTRICA,Z2,5
223846,2017/1,ENGENHARIA DE MATERIAIS,Z2,6
281627,2016/1,ENGENHARIA DE MATERIAIS,Z2,8
